Method,Model,Hop_Type,Faithfulness,Answer_Relevancy,Answer_Correctness,Questions
naive_rag,GPT-4o-mini,Single-Hop,0.687857142857143,0.7458402932571383,0.587050137500199,25
naive_rag,GPT-4o-mini,Multi-Hop,0.7275971936560173,0.7869469080702994,0.5902853118855225,25
naive_rag,EXAONE-3.5-7.8B,Single-Hop,0.741774722010016,0.5359131754846336,0.5196271003783783,25
naive_rag,EXAONE-3.5-7.8B,Multi-Hop,0.7278144684901853,0.6483412598295728,,25
naive_rag,Qwen3-8B,Single-Hop,0.7561940135887504,0.5020055277484023,0.5308540940463881,25
naive_rag,Qwen3-8B,Multi-Hop,0.7503455012823435,0.6706316693419098,0.5415747337811428,25
naive_rag,Gemma3-12B,Single-Hop,0.8161666666666666,0.6685599004488535,0.48007611302626835,25
naive_rag,Gemma3-12B,Multi-Hop,0.873920634920635,0.7080031310884324,0.5614141110983834,25
naive_rag,GPT-OSS-20B,Single-Hop,0.6255784104747474,0.7861453685098009,,25
naive_rag,GPT-OSS-20B,Multi-Hop,0.649112427822436,0.779600432679505,0.5731280094908672,25
kg_simple,GPT-4o-mini,Single-Hop,0.7777063492063492,0.7223699925764073,0.5729795158189603,25
kg_simple,GPT-4o-mini,Multi-Hop,0.7930105041157672,0.7901812454417209,0.5863938483420857,25
kg_simple,EXAONE-3.5-7.8B,Single-Hop,0.8379999866034349,0.5407330622557164,0.513763831450229,25
kg_simple,EXAONE-3.5-7.8B,Multi-Hop,0.7350264702617644,0.6486505923074352,0.5194872430164658,25
kg_simple,Qwen3-8B,Single-Hop,0.7730307372366195,0.46338594383432785,0.47448733196583753,25
kg_simple,Qwen3-8B,Multi-Hop,0.7386186192685384,0.5824396804533862,0.5028005621339592,25
kg_simple,Gemma3-12B,Single-Hop,0.7887393629388514,0.5317333301490156,0.4835954078145911,25
kg_simple,Gemma3-12B,Multi-Hop,0.8905847159376572,0.5968055497264431,0.5385276991496596,25
kg_simple,GPT-OSS-20B,Single-Hop,0.7170038389224925,0.6415293239392796,0.5128329180281487,25
kg_simple,GPT-OSS-20B,Multi-Hop,0.7447977477075832,0.7439944312748371,,25
kg_cypher_generation,GPT-4o-mini,Single-Hop,0.2591428571428571,0.3932159289380467,0.4537561275711935,25
kg_cypher_generation,GPT-4o-mini,Multi-Hop,0.3617922077922078,0.4975652757994111,0.49164433891815534,25
kg_cypher_generation,EXAONE-3.5-7.8B,Single-Hop,0.3033762903762904,0.2568972207137267,0.4027505794769539,25
kg_cypher_generation,EXAONE-3.5-7.8B,Multi-Hop,0.31993669694598487,0.18141984072795472,0.5072702368110609,25
kg_cypher_generation,Qwen3-8B,Single-Hop,0.3221363636363636,0.25818424607061535,0.3384426158561364,25
kg_cypher_generation,Qwen3-8B,Multi-Hop,0.38900913706176865,0.2168174099458674,0.4185737260855476,25
kg_cypher_generation,Gemma3-12B,Single-Hop,0.49,0.18276478257394668,0.2701779439676967,25
kg_cypher_generation,Gemma3-12B,Multi-Hop,0.5753333333333334,0.17859412449376297,0.3175084061632541,25
kg_cypher_generation,GPT-OSS-20B,Single-Hop,0.35520446889871854,0.4224215897997206,0.3438644300805912,25
kg_cypher_generation,GPT-OSS-20B,Multi-Hop,0.34419615685769195,0.5656444651523234,0.41620294557145515,25
