Method,Model,Answer_Correctness
kg_cypher_fixed,EXAONE-3.5-7.8B,0.4897684411600416
kg_cypher_fixed,GPT-4o-mini,0.5707256599822774
kg_cypher_fixed,GPT-OSS-20B,0.4923127275232544
kg_cypher_fixed,Gemma3-12B,0.4933090701172913
kg_cypher_fixed,Qwen3-8B,0.49957769739578617
kg_cypher_generation,EXAONE-3.5-7.8B,0.4550104081440074
kg_cypher_generation,GPT-4o-mini,0.4727002332446744
kg_cypher_generation,GPT-OSS-20B,0.3800336878260232
kg_cypher_generation,Gemma3-12B,0.2938431750654754
kg_cypher_generation,Qwen3-8B,0.378508170970842
kg_simple,EXAONE-3.5-7.8B,0.5166255372333474
kg_simple,GPT-4o-mini,0.5796866820805231
kg_simple,GPT-OSS-20B,0.5128329180281487
kg_simple,Gemma3-12B,0.5110615534821253
kg_simple,Qwen3-8B,0.48864394704989833
naive_rag,EXAONE-3.5-7.8B,0.5196271003783783
naive_rag,GPT-4o-mini,0.5886677246928607
naive_rag,GPT-OSS-20B,0.5731280094908672
naive_rag,Gemma3-12B,0.5207451120623259
naive_rag,Qwen3-8B,0.5362144139137655
