Method,Model,Single_Hop_AC,Multi_Hop_AC,Overall_AC,Multi_Hop_Gap
naive_rag,GPT-4o-mini,0.587050137500199,0.5902853118855225,0.5886677246928607,0.0032351743853235027
naive_rag,EXAONE-3.5-7.8B,0.5196271003783783,,0.5196271003783783,
naive_rag,Qwen3-8B,0.5308540940463881,0.5415747337811428,0.5362144139137655,0.010720639734754789
naive_rag,Gemma3-12B,0.48007611302626835,0.5614141110983834,0.5207451120623259,0.081337998072115
naive_rag,GPT-OSS-20B,,0.5731280094908672,0.5731280094908672,
kg_simple,GPT-4o-mini,0.5729795158189603,0.5863938483420857,0.5796866820805231,0.013414332523125405
kg_simple,EXAONE-3.5-7.8B,0.513763831450229,0.5194872430164658,0.5166255372333474,0.005723411566236791
kg_simple,Qwen3-8B,0.47448733196583753,0.5028005621339592,0.48864394704989833,0.02831323016812165
kg_simple,Gemma3-12B,0.4835954078145911,0.5385276991496596,0.5110615534821253,0.054932291335068495
kg_simple,GPT-OSS-20B,0.5128329180281487,,0.5128329180281487,
kg_cypher_generation,GPT-4o-mini,0.4537561275711935,0.49164433891815534,0.4727002332446744,0.03788821134696185
kg_cypher_generation,EXAONE-3.5-7.8B,0.4027505794769539,0.5072702368110609,0.4550104081440074,0.10451965733410695
kg_cypher_generation,Qwen3-8B,0.3384426158561364,0.4185737260855476,0.378508170970842,0.08013111022941122
kg_cypher_generation,Gemma3-12B,0.2701779439676967,0.3175084061632541,0.2938431750654754,0.04733046219555742
kg_cypher_generation,GPT-OSS-20B,0.3438644300805912,0.41620294557145515,0.3800336878260232,0.07233851549086395
