user_input,reference_contexts,reference,synthesizer_name
What role does the amount of 70억원 play in the calculation of transportation costs per customer?,"['고객 1인당 수송원가 산출과정\n\n수송원가 산출식\n\n수송원가={(매출원가 + 판매비와 관리비) + 영업외비용 - 영업외수익(금융이익)} ÷ 수송인원 2,651원={(7,417억원 + 539억원) + 161억원 - 70억원} ÷ 3억 355만명\n\n매출원가와 판매비·관리비\n\n인건비와 경비 등 도시철도 운영에 필수적으로 소요되는 영업비용\n\n직원 인건비\n\n열차운행 및 114개 역 운영을 위한 전기요금 등\n\n도시철도 전동차, 시설물 등의 안전을 위한 유지보수 비용 등\n\n114개 역사 및 전동차의 청소용역 비용 등\n\n기타 필수 소요 영업비용\n\n영업외 비용\n\n이자비용과 외화환손실\n\n영업외 수익\n\n이자수익\n\n수송원가보전율 29.1% <2023년 결산기준>']",The amount of 70억원 is subtracted as operating revenue (financial income) in the calculation of transportation costs per customer.,single_hop_specifc_query_synthesizer
What was the transportation cost recovery rate for urban rail operations in 2023?,"['영업외 수익\n\n이자수익\n\n수송원가보전율 29.1% <2023년 결산기준>\n\n수송원가보전율로 총 수송원가(A), 수송현황(인원B, 수입금C), 1인당(원)-수송원가(D=A/B), 평균운임(E=C/B), 1인당(원)부족액(D-E), 원가보전율(E/D)제공\n\n총 수송원가(A) 수송 현황 1인당(원) 1인당(원) 부족액(D-E) 원가 보전율(E/D) 인원(B) 수입금(C) 수송원가(D=A/B) 평균운임(E=C/B) 804,730 303,550 234,345 2,651 772.0\n\n총 수송원가 : 영업비용(매출원가+판관비)+영업외비용-영업외수익 수송원가 보전을 위한 운임수준 : 4,820원 <2023년 기준>\n\n도시철도 운임 결정과정\n\n운임조정 절차\n\n운임조정절차로 순서에 따른 내용 및 담당 제공']",The transportation cost recovery rate for urban rail operations in 2023 was 29.1%.,single_hop_specifc_query_synthesizer
Wht is the role of the 국토교통부 in the fare adjustment process for urban transportation systems?,['운임조정 절차\n\n운임조정절차로 순서에 따른 내용 및 담당 제공\n\n순서 내용 담당 ① 운임 상한범위 조정 요청 운임조정의 필요성 등을 포함하여 부산시에 운임 상한범위 조정 요청 ② 운임조정 상한범위 결정 교통혁신위원회 및 물가대책위원회 의결 → 운임조정 상한액 결정 ③ 운임결정 및 신고 이사회 의결 및 부산시에 신고 ④ 운임조정액 확정 부산시에서 신고된 운임조정액 확정 ⑤ 운임조정 통보 기획재정부 및 국토교통부 에 통보\n\n근거법령\n\n도시철도법 제31조(운임의 신고 등)\n\n도시철도운영자는 운임변경 시 시·도지사가 정하는 범위 안에서 운임을 정하여 시·도지사에게 신고\n\n도시철도법시행령 제22조(운임의 조정 및 협의 등)'],"In the fare adjustment process, the 국토교통부 is notified of the fare adjustment after it has been confirmed by the city of Busan.",single_hop_specifc_query_synthesizer
부산광역시의 운임 조정은 어떻게 이루어지나요?,['도시철도법시행령 제22조(운임의 조정 및 협의 등)\n\n시·도지사는 운임조정위원회를 설치하여 의견을 들어야 함 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 함\n\n부산교통공사 설치조례 제10조(운임)\n\n운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행'],"부산광역시의 운임 조정은 운임조정위원회를 통해 이루어지며, 이 위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 합니다. 또한, 운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행합니다.",single_hop_specifc_query_synthesizer
How many elevators are there on Line 2 of the Busan urban railroad?,['부산 도시철도 엘리베이터 현황\n\n1호선\n\n총계: 160 (내부: 74 / 외부: 86)\n\n2호선\n\n총계: 172 (내부: 84 / 외부: 88)\n\n호포역 엘리베이터 1대는 운행정지 상태임\n\n3호선\n\n총계: 68 (내부: 38 / 외부: 30)\n\n4호선\n\n총계: 47 (내부: 20 / 외부: 27)'],"Line 2 of the Busan urban railroad has a total of 172 elevators, with 84 located internally and 88 externally.",single_hop_specifc_query_synthesizer
Could you provide detailed information on the availability of dedicated nursing rooms at the Dadaepo Port station on the Busan Urban Railroad Line 1?,"['부산 도시철도 각 호선의 모유수유실 현황은 다음과 같습니다.\n\n1호선\n\n총 40개소\n\n전용: 다대포해수욕장, 다대포항, 낫개, 신장림, 서면(1), 연산(1), 동래(1)\n\n겸용: 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 교대(1), 명륜, 온천장, 부산대, 장전, 구서, 두실, 남산, 범어사, 노포\n\n2호선\n\n총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산']","On the Busan Urban Railroad Line 1, the Dadaepo Port station has a dedicated nursing room available.",single_hop_specifc_query_synthesizer
"장산 역은 어떤 용도로 사용되나요, 전용 아니면 겸용?","['총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산\n\n겸용: 장산, 중동, 해운대, 동백, 센텀시티, 수영(2), 광안, 남천, 경성대·부경대, 대연, 못골, 지게골, 국제금융센터·부산은행, 전포, 부암, 가야, 동의대, 개금, 주례, 감전, 사상(2), 덕포, 모덕, 모라, 구남, 구명, 덕천(2), 수정, 화명, 율리, 동원, 금곡, 호포, 양산\n\n3호선\n\n총 14개소\n\n전용: 망미, 배산, 물만골, 거제(3), 종합운동장, 사직, 미남(3), 남산정, 구포\n\n겸용: 만덕, 숙등, 강서구청, 체육공원, 대저(3)\n\n4호선\n\n총 13개소\n\n전용: 동래(4), 수안, 낙민, 충렬사, 명장, 서동, 반여농산물시장, 석대, 영산대, 윗반송, 고촌, 안평\n\n겸용: 금사']",장산 역은 겸용으로 사용됩니다.,single_hop_specifc_query_synthesizer
Wht is the role of Busan Facilties Corp in urban raiload parking?,"['역세권 주차장 현황\n\n부산 도시철도 각 호선의 역세권 주차공간에 대한 정보입니다. 역별 주차면수, 면적, 관리주체, 전화번호, 비고를 제공합니다.\n\n1호선\n\n다대포해수욕장: 지상 114면, 지하 1층 10면, 지하 2층 44면. 관리주체: 부산교통공사. 전화번호: 010-4695-1023\n\n신평: 88면. 관리주체: 부산교통공사. 전화번호: 206-5882\n\n하단: 151면. 관리주체: 부산시설공단. 전화번호: 860-7713\n\n부산: 500면. 관리주체: KORAIL. 전화번호: 441-7782\n\n동래: 405면. 관리주체: 부산시설공단. 전화번호: 860-7702\n\n2호선\n\n수영: 327면. 관리주체: 부산교통공사. 전화번호: 751-1135\n\n남천: 109면. 관리주체: 수영구청. 전화번호: 610-4552\n\n전포: 내부 112면, 주변 27면. 관리주체: 부산교통공사. 전화번호: 802-7801']","Busan Facilities Corporation manages parking spaces at certain stations, such as Hadan with 151 spaces and Dongnae with 405 spaces.",single_hop_specifc_query_synthesizer
What is the role of 부산교통공사 in managing parking facilities?,"['전포: 내부 112면, 주변 27면. 관리주체: 부산교통공사. 전화번호: 802-7801\n\n구남: 124면. 관리주체: 부산시설공단. 전화번호: 860-7701\n\n덕천: 175면. 관리주체: 북구청. 전화번호: 309-4504\n\n3호선\n\n대저: 내부 17면, 외부 127면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n체육공원: 1층 28면, 2층 21면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n강서구청: 내부 28면, 외부 72면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n4호선\n\n안평: 외부 189면. 관리주체: 부산교통공사. 전화번호: 051-722-8854\n\n주차 요금표\n\n부산교통공사 설치 위탁주차장 요금표는 다음과 같습니다:\n\n1급지: 시간제 주차 500원 (10분마다), 1일 주차 15,000원, 월 주차 주간 160,000원, 야간 80,000원']","부산교통공사는 여러 주차 시설의 관리주체로서, 전포, 대저, 체육공원, 강서구청, 안평 등의 주차장을 관리하고 있습니다. 또한, 부산교통공사가 설치한 위탁주차장의 요금표에 따르면, 1급지의 시간제 주차는 10분마다 500원, 1일 주차는 15,000원, 월 주차는 주간 160,000원, 야간 80,000원입니다.",single_hop_specifc_query_synthesizer
안평 주차 요금 얼마야?,"['1급지: 시간제 주차 500원 (10분마다), 1일 주차 15,000원, 월 주차 주간 160,000원, 야간 80,000원\n\n2급지: 시간제 주차 300원, 1일 주차 8,000원, 월 주차 주간 90,000원, 야간 70,000원\n\n3급지: 시간제 주차 200원, 1일 주차 4,700원, 월 주차 주간 50,000원, 야간 40,000원\n\n4급지: 시간제 주차 100원, 1일 주차 2,400원, 월 주차 주간 30,000원, 야간 22,000원\n\n2급지에는 수영, 전포(내부), 호포(양산시 급지 적용)가 포함됩니다. 3급지에는 다대포해수욕장, 신평, 안평, 대저(내·외부), 체육공원(1·2층), 강서구청(내·외부)가 포함됩니다.']","안평은 3급지에 포함되며, 시간제 주차는 200원, 1일 주차는 4,700원, 월 주차 주간은 50,000원, 야간은 40,000원입니다.",single_hop_specifc_query_synthesizer
