user_input,reference_contexts,reference,synthesizer_name
도시철도법시행령에 따른 운임조정 절차는 어떻게 진행되나요?,['운임조정 절차\n\n운임조정절차로 순서에 따른 내용 및 담당 제공\n\n순서 내용 담당 ① 운임 상한범위 조정 요청 운임조정의 필요성 등을 포함하여 부산시에 운임 상한범위 조정 요청 ② 운임조정 상한범위 결정 교통혁신위원회 및 물가대책위원회 의결 → 운임조정 상한액 결정 ③ 운임결정 및 신고 이사회 의결 및 부산시에 신고 ④ 운임조정액 확정 부산시에서 신고된 운임조정액 확정 ⑤ 운임조정 통보 기획재정부 및 국토교통부 에 통보\n\n근거법령\n\n도시철도법 제31조(운임의 신고 등)\n\n도시철도운영자는 운임변경 시 시·도지사가 정하는 범위 안에서 운임을 정하여 시·도지사에게 신고\n\n도시철도법시행령 제22조(운임의 조정 및 협의 등)'],"도시철도법시행령 제22조에 근거하여 운임조정 절차는 다음과 같이 진행됩니다. 첫째, 운임 상한범위 조정 요청을 통해 운임조정의 필요성 등을 포함하여 부산시에 요청합니다. 둘째, 교통혁신위원회 및 물가대책위원회 의결을 거쳐 운임조정 상한액을 결정합니다. 셋째, 이사회 의결을 통해 운임을 결정하고 부산시에 신고합니다. 넷째, 부산시에서 신고된 운임조정액을 확정합니다. 마지막으로, 확정된 운임조정액을 기획재정부 및 국토교통부에 통보합니다.",single_hop_specifc_query_synthesizer
Busan Metro의 운임 조정과 관련하여 시·도지사의 역할과 운임조정위원회의 구성 및 기능에 대해 자세히 알려주세요.,['도시철도법시행령 제22조(운임의 조정 및 협의 등)\n\n시·도지사는 운임조정위원회를 설치하여 의견을 들어야 함 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 함\n\n부산교통공사 설치조례 제10조(운임)\n\n운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행'],"시·도지사는 도시철도법시행령 제22조에 따라 운임 조정과 관련하여 운임조정위원회를 설치하고 의견을 들어야 합니다. 이 위원회는 전체 위원 중 민간위원이 2분의 1 이상을 차지해야 합니다. 또한, 부산교통공사 설치조례 제10조에 따르면 운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행합니다.",single_hop_specifc_query_synthesizer
"What is the current status of elevators across the different lines of the Busan Metro, specifically regarding their distribution and operational condition?",['부산 도시철도 엘리베이터 현황\n\n1호선\n\n총계: 160 (내부: 74 / 외부: 86)\n\n2호선\n\n총계: 172 (내부: 84 / 외부: 88)\n\n호포역 엘리베이터 1대는 운행정지 상태임\n\n3호선\n\n총계: 68 (내부: 38 / 외부: 30)\n\n4호선\n\n총계: 47 (내부: 20 / 외부: 27)'],"In the Busan Metro, the elevator distribution across the lines is as follows: Line 1 has a total of 160 elevators, with 74 internal and 86 external. Line 2 has a total of 172 elevators, with 84 internal and 88 external, though one elevator at Hopo Station is currently out of service. Line 3 has a total of 68 elevators, with 38 internal and 30 external. Lastly, Line 4 has a total of 47 elevators, with 20 internal and 27 external.",single_hop_specifc_query_synthesizer
Seomyeon station got any nursing rooms?,"['부산 도시철도 각 호선의 모유수유실 현황은 다음과 같습니다.\n\n1호선\n\n총 40개소\n\n전용: 다대포해수욕장, 다대포항, 낫개, 신장림, 서면(1), 연산(1), 동래(1)\n\n겸용: 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 교대(1), 명륜, 온천장, 부산대, 장전, 구서, 두실, 남산, 범어사, 노포\n\n2호선\n\n총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산']","Yes, Seomyeon station on Line 1 of the Busan Metro has a dedicated nursing room.",single_hop_specifc_query_synthesizer
"Hey, can you tell me if Bexco is one of the dedicated spots for escalator maintenance in the Busan Metro system?","['총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산\n\n겸용: 장산, 중동, 해운대, 동백, 센텀시티, 수영(2), 광안, 남천, 경성대·부경대, 대연, 못골, 지게골, 국제금융센터·부산은행, 전포, 부암, 가야, 동의대, 개금, 주례, 감전, 사상(2), 덕포, 모덕, 모라, 구남, 구명, 덕천(2), 수정, 화명, 율리, 동원, 금곡, 호포, 양산\n\n3호선\n\n총 14개소\n\n전용: 망미, 배산, 물만골, 거제(3), 종합운동장, 사직, 미남(3), 남산정, 구포\n\n겸용: 만덕, 숙등, 강서구청, 체육공원, 대저(3)\n\n4호선\n\n총 13개소\n\n전용: 동래(4), 수안, 낙민, 충렬사, 명장, 서동, 반여농산물시장, 석대, 영산대, 윗반송, 고촌, 안평\n\n겸용: 금사']","Yes, Bexco (City Art Museum) is listed as one of the dedicated locations for escalator maintenance in the Busan Metro system.",single_hop_specifc_query_synthesizer
부산 도시철도 역세권 주차장 중 부산교통공사가 관리하는 주차 공간에 대한 상세 정보를 알려주세요. 주차 면수와 연락처를 포함해 주세요.,"['역세권 주차장 현황\n\n부산 도시철도 각 호선의 역세권 주차공간에 대한 정보입니다. 역별 주차면수, 면적, 관리주체, 전화번호, 비고를 제공합니다.\n\n1호선\n\n다대포해수욕장: 지상 114면, 지하 1층 10면, 지하 2층 44면. 관리주체: 부산교통공사. 전화번호: 010-4695-1023\n\n신평: 88면. 관리주체: 부산교통공사. 전화번호: 206-5882\n\n하단: 151면. 관리주체: 부산시설공단. 전화번호: 860-7713\n\n부산: 500면. 관리주체: KORAIL. 전화번호: 441-7782\n\n동래: 405면. 관리주체: 부산시설공단. 전화번호: 860-7702\n\n2호선\n\n수영: 327면. 관리주체: 부산교통공사. 전화번호: 751-1135\n\n남천: 109면. 관리주체: 수영구청. 전화번호: 610-4552\n\n전포: 내부 112면, 주변 27면. 관리주체: 부산교통공사. 전화번호: 802-7801']","부산교통공사가 관리하는 부산 도시철도 역세권 주차장 정보는 다음과 같습니다:

- 1호선 다대포해수욕장: 지상 114면, 지하 1층 10면, 지하 2층 44면. 전화번호: 010-4695-1023
- 1호선 신평: 88면. 전화번호: 206-5882
- 2호선 수영: 327면. 전화번호: 751-1135
- 2호선 전포: 내부 112면, 주변 27면. 전화번호: 802-7801",single_hop_specifc_query_synthesizer
"Hey, what place does 부산시설공단 manage in metro?","['전포: 내부 112면, 주변 27면. 관리주체: 부산교통공사. 전화번호: 802-7801\n\n구남: 124면. 관리주체: 부산시설공단. 전화번호: 860-7701\n\n덕천: 175면. 관리주체: 북구청. 전화번호: 309-4504\n\n3호선\n\n대저: 내부 17면, 외부 127면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n체육공원: 1층 28면, 2층 21면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n강서구청: 내부 28면, 외부 72면. 관리주체: 부산교통공사. 전화번호: 010-3591-0625\n\n4호선\n\n안평: 외부 189면. 관리주체: 부산교통공사. 전화번호: 051-722-8854\n\n주차 요금표\n\n부산교통공사 설치 위탁주차장 요금표는 다음과 같습니다:\n\n1급지: 시간제 주차 500원 (10분마다), 1일 주차 15,000원, 월 주차 주간 160,000원, 야간 80,000원']","부산시설공단 manages the parking facilities at 구남 station, which has 124 parking spaces.",single_hop_specifc_query_synthesizer
Busan city parking rates for Suyeong area under the current zoning classification,"['1급지: 시간제 주차 500원 (10분마다), 1일 주차 15,000원, 월 주차 주간 160,000원, 야간 80,000원\n\n2급지: 시간제 주차 300원, 1일 주차 8,000원, 월 주차 주간 90,000원, 야간 70,000원\n\n3급지: 시간제 주차 200원, 1일 주차 4,700원, 월 주차 주간 50,000원, 야간 40,000원\n\n4급지: 시간제 주차 100원, 1일 주차 2,400원, 월 주차 주간 30,000원, 야간 22,000원\n\n2급지에는 수영, 전포(내부), 호포(양산시 급지 적용)가 포함됩니다. 3급지에는 다대포해수욕장, 신평, 안평, 대저(내·외부), 체육공원(1·2층), 강서구청(내·외부)가 포함됩니다.']","In Busan, Suyeong falls under the 2급지 (Grade 2) zoning classification for parking rates. The rates for this zone are as follows: hourly parking is 300 won (per 10 minutes), daily parking is 8,000 won, monthly daytime parking is 90,000 won, and monthly nighttime parking is 70,000 won.",single_hop_specifc_query_synthesizer
Could you provide information on the number of meeting places designated at Dongmae Station on Line 1 of the public transportation system?,"['1호선 만남의 장소\n\n1호선 각 역의 만남의 장소 수량은 다음과 같습니다: - 다대포해수욕장, 다대포항, 낫개, 신장림, 장림, 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 연산(1), 교대(1), 동래(1), 명륜, 온천장, 부산대, 장전, 구서, 남산, 범어사, 노포: 각 1개 - 두실: 2개 - 서면(1): 0개\n\n2호선 만남의 장소']","At Dongmae Station on Line 1, Ascending (1) by default, there is 1 designated meeting place.",single_hop_specifc_query_synthesizer
"Hey, can you tell me about how many meeting places are there at Suyeong station for both line 2 and line 3, I’m kinda confused with all the numbers and stuff, and I need to know for planning a meet-up in Busan, so please help me out with this info?","['2호선 만남의 장소\n\n2호선 각 역의 만남의 장소 수량은 다음과 같습니다: - 장산, 중동, 해운대, 동백, 벡스코(시립미술관), 센텀시티, 민락, 금련산, 남천, 경성대·부경대, 대연, 못골, 지게골, 문현, 전포, 부암, 가야, 동의대, 개금, 냉정, 주례, 감전, 사상(2), 덕포, 모덕, 모라, 구남, 구명, 수정, 화명, 율리, 동원, 금곡, 증산, 부산대양산캠퍼스, 남양산, 양산: 각 1개 - 수영(2), 광안, 호포: 각 2개 - 국제금융센터·부산은행, 서면(2): 0개 - 덕천(2): 3개\n\n3호선 만남의 장소\n\n3호선 각 역의 만남의 장소 수량은 다음과 같습니다: - 수영(3), 망미, 배산, 물만골, 연산(3), 거제(3), 종합운동장, 사직, 미남(3), 만덕, 남산정, 숙등, 구포, 강서구청, 체육공원, 대저(3): 각 1개 - 덕천(3): 3개']","At Suyeong station, there are 2 meeting places on Line 2 and 1 meeting place on Line 3.",single_hop_specifc_query_synthesizer
