user_input,reference_contexts,reference,synthesizer_name
"Hey, can you explain to me what exactly is included in the '인건비' part of the cost structure for public transportation, and how it fits into the overall calculation of transportation costs per customer, since I'm tryin to understand the financial breakdown for our operational budget?","['고객 1인당 수송원가 산출과정\n\n수송원가 산출식\n\n수송원가={(매출원가 + 판매비와 관리비) + 영업외비용 - 영업외수익(금융이익)} ÷ 수송인원 2,651원={(7,417억원 + 539억원) + 161억원 - 70억원} ÷ 3억 355만명\n\n매출원가와 판매비·관리비\n\n인건비와 경비 등 도시철도 운영에 필수적으로 소요되는 영업비용\n\n직원 인건비\n\n열차운행 및 114개 역 운영을 위한 전기요금 등\n\n도시철도 전동차, 시설물 등의 안전을 위한 유지보수 비용 등\n\n114개 역사 및 전동차의 청소용역 비용 등\n\n기타 필수 소요 영업비용\n\n영업외 비용\n\n이자비용과 외화환손실\n\n영업외 수익\n\n이자수익\n\n수송원가보전율 29.1% <2023년 결산기준>']","인건비, or labor costs, are a key component of the operating expenses for urban railway systems within the cost structure of public transportation. Specifically, these costs are included under the category of '매출원가와 판매비·관리비,' which represents essential operating expenses. 인건비 covers the expenses related to staff, such as the personnel required for train operations and the management of 114 stations.",single_hop_specifc_query_synthesizer
"Hey, what mean by 수송인원 in transport cost?","['고객 1인당 수송원가 산출과정\n\n수송원가 산출식\n\n수송원가={(매출원가 + 판매비와 관리비) + 영업외비용 - 영업외수익(금융이익)} ÷ 수송인원 2,651원={(7,417억원 + 539억원) + 161억원 - 70억원} ÷ 3억 355만명\n\n매출원가와 판매비·관리비\n\n인건비와 경비 등 도시철도 운영에 필수적으로 소요되는 영업비용\n\n직원 인건비\n\n열차운행 및 114개 역 운영을 위한 전기요금 등\n\n도시철도 전동차, 시설물 등의 안전을 위한 유지보수 비용 등\n\n114개 역사 및 전동차의 청소용역 비용 등\n\n기타 필수 소요 영업비용\n\n영업외 비용\n\n이자비용과 외화환손실\n\n영업외 수익\n\n이자수익\n\n수송원가보전율 29.1% <2023년 결산기준>']","수송인원 refers to the number of passengers transported, which is used in the calculation of transportation cost per customer. According to the provided data, it is 3억 355만명 (335.5 million passengers) in the given formula for calculating the transportation cost.",single_hop_specifc_query_synthesizer
What is the role of the 물가대책위원회 in the fare adjustment process for the Busan Metro?,['운임조정 절차\n\n운임조정절차로 순서에 따른 내용 및 담당 제공\n\n순서 내용 담당 ① 운임 상한범위 조정 요청 운임조정의 필요성 등을 포함하여 부산시에 운임 상한범위 조정 요청 ② 운임조정 상한범위 결정 교통혁신위원회 및 물가대책위원회 의결 → 운임조정 상한액 결정 ③ 운임결정 및 신고 이사회 의결 및 부산시에 신고 ④ 운임조정액 확정 부산시에서 신고된 운임조정액 확정 ⑤ 운임조정 통보 기획재정부 및 국토교통부 에 통보\n\n근거법령\n\n도시철도법 제31조(운임의 신고 등)\n\n도시철도운영자는 운임변경 시 시·도지사가 정하는 범위 안에서 운임을 정하여 시·도지사에게 신고\n\n도시철도법시행령 제22조(운임의 조정 및 협의 등)'],"The 물가대책위원회, along with the 교통혁신위원회, is responsible for deliberating and deciding on the upper limit of fare adjustments as part of the fare adjustment procedure for the Busan Metro.",single_hop_specifc_query_synthesizer
"As a public transportation policy advisor in Busan City, I would like to understand the specific role of the Ministry of Land, Infrastructure and Transport (국토교통부) in the fare adjustment procedure for urban railroads. Could you elaborate on how and at which stage they are involved in this process?",['운임조정 절차\n\n운임조정절차로 순서에 따른 내용 및 담당 제공\n\n순서 내용 담당 ① 운임 상한범위 조정 요청 운임조정의 필요성 등을 포함하여 부산시에 운임 상한범위 조정 요청 ② 운임조정 상한범위 결정 교통혁신위원회 및 물가대책위원회 의결 → 운임조정 상한액 결정 ③ 운임결정 및 신고 이사회 의결 및 부산시에 신고 ④ 운임조정액 확정 부산시에서 신고된 운임조정액 확정 ⑤ 운임조정 통보 기획재정부 및 국토교통부 에 통보\n\n근거법령\n\n도시철도법 제31조(운임의 신고 등)\n\n도시철도운영자는 운임변경 시 시·도지사가 정하는 범위 안에서 운임을 정하여 시·도지사에게 신고\n\n도시철도법시행령 제22조(운임의 조정 및 협의 등)'],"The Ministry of Land, Infrastructure and Transport (국토교통부) is involved in the fare adjustment procedure for urban railroads at the final stage of the process. Specifically, after the fare adjustment amount is finalized by Busan City, it is notified to both the Ministry of Strategy and Finance and the Ministry of Land, Infrastructure and Transport (국토교통부) as part of the formal notification step.",single_hop_specifc_query_synthesizer
도시철도법시행령에 따른 운임조정위원회 구성은 어떻게 되나요?,['도시철도법시행령 제22조(운임의 조정 및 협의 등)\n\n시·도지사는 운임조정위원회를 설치하여 의견을 들어야 함 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 함\n\n부산교통공사 설치조례 제10조(운임)\n\n운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행'],"도시철도법시행령 제22조에 따르면, 시·도지사는 운임조정위원회를 설치하여 의견을 들어야 하며, 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 합니다.",single_hop_specifc_query_synthesizer
"Hey, can you tell me what’s the deal with this 부산광역시 물가대책위원회 and how it connect to the metro fares in Busan?",['도시철도법시행령 제22조(운임의 조정 및 협의 등)\n\n시·도지사는 운임조정위원회를 설치하여 의견을 들어야 함 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 함\n\n부산교통공사 설치조례 제10조(운임)\n\n운임조정위원회의 기능은 부산광역시 물가대책위원회가 대행'],The 부산광역시 물가대책위원회 takes on the role of the 운임조정위원회 as per the 부산교통공사 설치조례 제10조. This means it handles functions related to fare adjustments for the Busan Metro.,single_hop_specifc_query_synthesizer
Busan Metro 2호선 elevator status,['부산 도시철도 엘리베이터 현황\n\n1호선\n\n총계: 160 (내부: 74 / 외부: 86)\n\n2호선\n\n총계: 172 (내부: 84 / 외부: 88)\n\n호포역 엘리베이터 1대는 운행정지 상태임\n\n3호선\n\n총계: 68 (내부: 38 / 외부: 30)\n\n4호선\n\n총계: 47 (내부: 20 / 외부: 27)'],"For Busan Metro 2호선, the total number of elevators is 172, with 84 internal and 88 external elevators.",single_hop_specifc_query_synthesizer
"As a maintenance engineer for the Busan Metro, can you provide the total number of elevators on Line 2, including the breakdown between internal and external units?",['부산 도시철도 엘리베이터 현황\n\n1호선\n\n총계: 160 (내부: 74 / 외부: 86)\n\n2호선\n\n총계: 172 (내부: 84 / 외부: 88)\n\n호포역 엘리베이터 1대는 운행정지 상태임\n\n3호선\n\n총계: 68 (내부: 38 / 외부: 30)\n\n4호선\n\n총계: 47 (내부: 20 / 외부: 27)'],"On Line 2 of the Busan Metro, there are a total of 172 elevators, with 84 being internal and 88 being external.",single_hop_specifc_query_synthesizer
"Could you provide detailed information about the availability of nursing rooms along Busan Urban Railroad Line 1, commonly referred to as 1호선?","['부산 도시철도 각 호선의 모유수유실 현황은 다음과 같습니다.\n\n1호선\n\n총 40개소\n\n전용: 다대포해수욕장, 다대포항, 낫개, 신장림, 서면(1), 연산(1), 동래(1)\n\n겸용: 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 교대(1), 명륜, 온천장, 부산대, 장전, 구서, 두실, 남산, 범어사, 노포\n\n2호선\n\n총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산']","Along Busan Urban Railroad Line 1, also known as 1호선, there are a total of 40 nursing room facilities. These are categorized into dedicated and shared facilities. The dedicated nursing rooms are located at the following stations: Dadaepo Beach, Dadaepo Port, Natgae, Sinjangnim, Seomyeon (1), Yeonsan (1), and Dongnae (1). The shared nursing rooms are available at the following stations: Dongmae, Sinpyeong, Hadan, Dangni, Saha, Goejeong, Daeti, Seodaesin, Dongdaesin, Toseong, Jagalchi, Nampo, Jungang, Busan, Choryang, Busanjin, Jwacheon, Beomil, Beomnaegol, Bujeon, Yangjeong, City Hall, Gyodae (1), Myeongnyun, Oncheonjang, Busan National University, Jangjeon, Guseo, Dusil, Namsan, Beomeosa, and Nopo.",single_hop_specifc_query_synthesizer
"As a financial analyst evaluating the infrastructure investments for public transportation in Busan, could you provide detailed information on the availability of dedicated and shared nursing rooms specifically at Shinjangnim Station on Line 1, and how this fits into the broader context of nursing facilities across the line?","['부산 도시철도 각 호선의 모유수유실 현황은 다음과 같습니다.\n\n1호선\n\n총 40개소\n\n전용: 다대포해수욕장, 다대포항, 낫개, 신장림, 서면(1), 연산(1), 동래(1)\n\n겸용: 동매, 신평, 하단, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 부전, 양정, 시청, 교대(1), 명륜, 온천장, 부산대, 장전, 구서, 두실, 남산, 범어사, 노포\n\n2호선\n\n총 42개소\n\n전용: 벡스코(시립미술관), 민락, 금련산, 문현, 냉정, 증산, 남양산']","Shinjangnim Station on Line 1 of the Busan Metro is equipped with a dedicated nursing room, as listed among the stations with exclusive facilities. In the broader context of Line 1, there are a total of 40 nursing rooms, with 7 stations having dedicated facilities, including Shinjangnim, and the remaining stations having shared facilities.",single_hop_specifc_query_synthesizer
