Complexity,Model,Naive_Faith,Simple_Faith,Cypher_Faith,Naive_Relv,Simple_Relv,Cypher_Relv,Naive_Corr,Simple_Corr,Cypher_Corr,Simple_vs_Naive_Faith,Cypher_vs_Naive_Faith,Cypher_vs_Simple_Faith
Single-hop,GPT-4o-mini,0.687857142857143,0.7777063492063492,0.2591428571428571,0.7458402932571383,0.7223699925764073,0.3932159289380467,0.587050137500199,0.5729795158189603,0.4537561275711935,13.062189915772452,-62.32606438213916,-66.6785725219663
Single-hop,EXAONE-3.5-7.8B,0.741774722010016,0.8379999866034349,0.3033762903762904,0.5359131754846336,0.5407330622557164,0.2568972207137267,0.5196271003783783,0.513763831450229,0.4027505794769539,12.972303010363238,-59.10129027392309,-63.797578135301734
Single-hop,Qwen3-8B,0.7561940135887504,0.7730307372366195,0.3221363636363636,0.5020055277484023,0.46338594383432785,0.25818424607061535,0.5308540940463881,0.47448733196583753,0.3384426158561364,2.226508454882539,-57.40030232353113,-58.32813003168336
Single-hop,Gemma3-12B,0.8161666666666666,0.7887393629388514,0.49,0.6685599004488535,0.5317333301490156,0.18276478257394668,0.48007611302626835,0.4835954078145911,0.2701779439676967,-3.3605028051233674,-39.96324280171533,-37.87554887913104
Single-hop,GPT-OSS-20B,0.6255784104747474,0.7170038389224925,0.35520446889871854,0.7861453685098009,0.6415293239392796,0.4224215897997206,,0.5128329180281487,0.3438644300805912,14.61454342363941,-43.21983256596784,-50.459893013611065
Multi-hop,GPT-4o-mini,0.7275971936560173,0.7930105041157672,0.3617922077922078,0.7869469080702994,0.7901812454417209,0.4975652757994111,0.5902853118855225,0.5863938483420857,0.49164433891815534,8.990319235710949,-50.27575546652664,-54.37737508967577
Multi-hop,EXAONE-3.5-7.8B,0.7278144684901853,0.7350264702617644,0.31993669694598487,0.6483412598295728,0.6486505923074352,0.18141984072795472,,0.5194872430164658,0.5072702368110609,0.9909121189277864,-56.04144863873378,-56.472765282582806
Multi-hop,Qwen3-8B,0.7503455012823435,0.7386186192685384,0.38900913706176865,0.6706316693419098,0.5824396804533862,0.2168174099458674,0.5415747337811428,0.5028005621339592,0.4185737260855476,-1.5628643063447065,-48.15599795068399,-47.3328823680334
Multi-hop,Gemma3-12B,0.873920634920635,0.8905847159376572,0.5753333333333334,0.7080031310884324,0.5968055497264431,0.17859412449376297,0.5614141110983834,0.5385276991496596,0.3175084061632541,1.906818577242493,-34.16640935757488,-35.39824757405696
Multi-hop,GPT-OSS-20B,0.649112427822436,0.7447977477075832,0.34419615685769195,0.779600432679505,0.7439944312748371,0.5656444651523234,0.5731280094908672,,0.41620294557145515,14.740947143184554,-46.97433878868108,-53.78662758888637
