Complexity,Model,Naive_Faith,Simple_Faith,Old_Cypher_Faith,Fixed_Cypher_Faith,Naive_Relv,Simple_Relv,Old_Cypher_Relv,Fixed_Cypher_Relv
Single-hop,GPT-4o-mini,0.687857142857143,0.7777063492063492,0.2591428571428571,0.7486582273935215,0.7458402932571383,0.7223699925764073,0.3932159289380467,0.6848219514575349
Single-hop,EXAONE-3.5-7.8B,0.741774722010016,0.8379999866034349,0.3033762903762904,0.7931572871572871,0.5359131754846336,0.5407330622557164,0.2568972207137267,0.5045652294681028
Single-hop,Qwen3-8B,0.7561940135887504,0.7730307372366195,0.3221363636363636,0.7915317297082002,0.5020055277484023,0.46338594383432785,0.25818424607061535,0.5406467433773371
Single-hop,Gemma3-12B,0.8161666666666666,0.7887393629388514,0.49,0.7606969696969696,0.6685599004488535,0.5317333301490156,0.18276478257394668,0.629953029723673
Single-hop,GPT-OSS-20B,0.6255784104747474,0.7170038389224925,0.35520446889871854,0.6654442862018394,0.7861453685098009,0.6415293239392796,0.4224215897997206,0.6694738120128957
Multi-hop,GPT-4o-mini,0.7275971936560173,0.7930105041157672,0.3617922077922078,0.7788808293758759,0.7869469080702994,0.7901812454417209,0.4975652757994111,0.7569534435332398
Multi-hop,EXAONE-3.5-7.8B,0.7278144684901853,0.7350264702617644,0.31993669694598487,0.732710914335063,0.6483412598295728,0.6486505923074352,0.18141984072795472,0.6798186935321041
Multi-hop,Qwen3-8B,0.7503455012823435,0.7386186192685384,0.38900913706176865,0.8182283682538286,0.6706316693419098,0.5824396804533862,0.2168174099458674,0.6133644443801245
Multi-hop,Gemma3-12B,0.873920634920635,0.8905847159376572,0.5753333333333334,0.7900453806076366,0.7080031310884324,0.5968055497264431,0.17859412449376297,0.5693609588242238
Multi-hop,GPT-OSS-20B,0.649112427822436,0.7447977477075832,0.34419615685769195,0.7415284837411348,0.779600432679505,0.7439944312748371,0.5656444651523234,0.8495117051296281
